publishedAt,authorDisplayName,textDisplay
2023-12-31T17:11:00Z,@pahrienur3143,"21,6jt😮😮😮😮🤟🤟🤟🥶🥶🥶"
2023-12-31T16:40:25Z,@jhiex3648,kalo ustad kainama dgn yg lain kenapa tidak protes??
2023-12-31T15:28:54Z,@muhammadrusydi3798,"Urusin aja rumah sendiri, yang mungkin amburadul. Jangan ngurusin rumah orang. Yang mungkin dia nyaman"
2023-12-31T15:26:52Z,@radenhasudungansitungkir9515,"KAU ITU YANG SAKIT BOTAK, GAK TAU APA² BLAGU PAHAM"
2023-12-31T15:20:37Z,@muhammadrusydi3798,"Saya ikut berpartisipasi membantu palestina walawpun gak seberapa, tapi bukan dari pajak"
2023-12-31T15:12:11Z,@muhammadrusydi3798,"Yah namanya orang gak jelas,rupanya gak jelas, OTAKNYANYA juga jadi gak jelas"
2023-12-31T14:22:15Z,@micronsiagian1847,SAYA PRO ISRAEL
2023-12-31T14:18:03Z,@abeyr2372,Mantap amat😂😂 sekolahkan English celup tu🤣🤣<br>Di mana sifat kemanusiaan perempuan bacot..<br>Untuk kamu indah hidup ini kena ada 3 hal<br>1.skill<br>2.knowledge <br>3.attitude
2023-12-31T13:50:11Z,@empryferdinand-zion8967,Hak Bangsa Papua juga punya hak om Dedy...😂😂😂
2023-12-31T11:41:05Z,@ekopurwantono9327,DEdy C Kau mualaf yang ga ngerti iman mu mau kemana
2023-12-31T11:29:00Z,@minogatari8864,"Makasih banget om udh bandingin ini suara elia sama monyet , tapi kalo seandainya  monyet bisa ngomong kayak manusia normal , mungkin dia juga bakalan gk sudi di samain sama suara elia 😂😂😂<br>Mungkin si monyetpun bakalan pake penutup muka saat dia klarifikasi soal dia di bandingin sama elia , karna simonyet merasa lebih mulia dari pada si elia karna gk bahas² masalah agama 😊"
2023-12-31T10:37:06Z,@tosincoy9162,Mampus lu Indah G.<br>Langsung di ulti sma om Dedy.
2023-12-31T10:23:26Z,@aminahaminah5236,"memang mereka2 itu AKTOR2 pembuat khancuran d,negeri ini,, pembuat kacau negeri ini pdhal gk punya kontribusi t,hadap kmerdekaan d,negeri ini,, ,"
2023-12-31T09:17:07Z,@armand6703,Kirim aja ia di papua biar dia di sate di sana sm org papua
